rep,A,rd,LL,dp,pval,psig
12,11,10,5.479300008891229,-0.745,0.00093170182382729116,0
13,11,10,9.596606594264586,-0.75,1.1813264157667369e-05,0
14,11,10,5.737630991305764,-0.765,0.00070528704562755618,0
15,11,10,6.370417514556709,-0.75,0.00035775793171122228,0
16,11,10,5.990623269352018,-0.78,0.0005373862419841835,0
17,11,10,5.811121150864088,-0.795,0.00065167789755871119,0
18,11,10,2.9562823863136654,-0.71,0.015033269069865351,0
19,11,10,5.989431458121404,-0.695,0.00053807407391670559,0
20,11,10,10.118608291661042,-0.69,6.8409048293860408e-06,0
21,11,10,4.82772345741286,-0.695,0.0018879095794051004,0
22,11,10,3.97420595760358,-0.6749999999999999,0.004812959221679014,0
23,11,10,0.7479533342179975,-0.735,0.22130226361301819,0
24,11,10,3.649872198163143,-0.73,0.0068964420713324426,0
25,11,10,6.312164639613236,-0.8150000000000001,0.00038075847489205117,0
26,11,10,5.790785797874529,-0.71,0.00066608623742037132,0
27,11,10,0.8839388201278093,-0.7,0.18364495600648745,0
28,11,10,11.049607335461628,-0.755,2.5891564539026746e-06,1
29,11,10,4.16038879295834,-0.6699999999999999,0.0039194138242844012,0
30,11,10,6.846408522753898,-0.78,0.00021527629897721834,0
31,11,10,14.236875962721568,-0.75,9.4977403830576179e-08,1
32,11,10,4.928294142296949,-0.7,0.0016922463694577505,0
33,11,10,6.130811309535366,-0.73,0.0004623692870758811,0
34,11,10,7.200537424933915,-0.74,0.00014771797073009907,0
35,11,10,14.09311242746322,-0.755,1.1018597867451518e-07,1
36,11,10,6.108459902996852,-0.74,0.00047358053259682897,0
37,11,10,8.752543529736968,-0.715,2.8653997400485132e-05,0
38,11,10,6.095613588218968,-0.755,0.00048014786294603429,0
39,11,10,11.871442676567199,-0.765,1.1010162221936071e-06,1
40,11,10,8.142721634349153,-0.715,5.4480877180629328e-05,0
41,11,10,6.865977974458097,-0.72,0.00021083649952879924,0
42,11,10,10.11509973309753,-0.71,6.8660432175349229e-06,0
43,11,10,7.4718743673522265,-0.76,0.00011076444203705904,0
44,11,10,8.555005846120913,-0.745,3.5275859533778764e-05,0
45,11,10,8.02205113223124,-0.665,6.1884080156615617e-05,0
46,11,10,3.356448228574426,-0.6849999999999999,0.009571812938707458,0
47,11,10,11.098153068921178,-0.6799999999999999,2.4614690927737826e-06,1
48,11,10,8.692545734958436,-0.745,3.0521060504606901e-05,0
49,11,10,3.700083341020928,-0.71,0.0065217833782225121,0
50,11,10,10.043482714583575,-0.71,7.3999291095860897e-06,0
51,11,10,3.811130677432006,-0.77,0.0057652150838011229,0
52,11,10,9.794493951626894,-0.705,9.6021051401162794e-06,0
53,11,10,6.928392368709616,-0.74,0.00019728316239375765,0
54,11,10,5.20112115658053,-0.785,0.0012586238417251483,0
55,11,10,1.1891931263345619,-0.72,0.12302457378779452,0
56,11,10,8.297194388417717,-0.6799999999999999,4.6287767661135071e-05,0
57,11,10,3.0269991308666,-0.695,0.013874844259530672,0
58,11,10,7.344380078668959,-0.71,0.0001268002416087155,0
59,11,10,6.124526755323785,-0.78,0.00046549421416153258,0
60,11,10,6.0850012645882945,-0.69,0.00048564240430704064,0
61,11,10,7.3918897564143755,-0.695,0.00012056813349969886,0
62,11,10,3.9408598663975702,-0.755,0.0049936971056548929,0
63,11,10,10.893370994958383,-0.765,3.0469838175894992e-06,1
64,11,10,2.8207656237592422,-0.715,0.017539881778414146,0
65,11,10,6.6703186954239,-0.745,0.00025971605731756053,0
66,11,10,7.686655385056465,-0.74,8.8225687626342086e-05,0
67,11,10,13.277614664581684,-0.74,2.5611053289242847e-07,1
68,11,10,4.7047126843042175,-0.7,0.0021587286915781823,0
69,11,10,8.424566691881878,-0.78,4.0471805566322239e-05,0
70,11,10,3.722526097826697,-0.735,0.00636110743198115,0
71,11,10,10.30918826108157,-0.735,5.6055464207060979e-06,0
72,11,10,16.849299495096467,-0.6799999999999999,6.4347014383514534e-09,1
73,11,10,2.3198517901626823,-0.72,0.031240398003949288,0
74,11,10,7.735236834067711,-0.695,8.3804192679726164e-05,0
75,11,10,7.637371575910983,-0.74,9.2951080795100616e-05,0
76,11,10,6.3195510616137245,-0.75,0.00037776136991085618,0
77,11,10,7.567477625253398,-0.73,0.00010009273321209822,0
78,11,10,4.200605892106694,-0.685,0.0037497096883376546,0
79,11,10,15.535886776977096,-0.735,2.4866122272371172e-08,1
80,11,10,7.916937147481021,-0.73,6.915334046553312e-05,0
81,11,10,5.982785130433279,-0.755,0.0005419262105069711,0
82,11,10,7.440362246276012,-0.695,0.0001145272832259181,0
83,11,10,4.6236550140782295,-0.71,0.0023584160250594843,0
84,11,10,0.8101176640537299,-0.6649999999999999,0.20305897755608093,0
85,11,10,13.154701493984055,-0.745,2.9086907471498336e-07,1
86,11,10,5.433002694790214,-0.75,0.00097945564218160364,0
87,11,10,1.2015536190097977,-0.71,0.12109451060875964,0
88,11,10,8.733977997667672,-0.755,2.9219133248381546e-05,0
89,11,10,9.131319693285759,-0.75,1.9244473779211901e-05,0
90,11,10,7.782954984190292,-0.775,7.9678303187225019e-05,0
91,11,10,8.82196802820489,-0.745,2.6636316562411722e-05,0
92,11,10,4.172340496595288,-0.6799999999999999,0.0038681807540343893,0
93,11,10,5.0182062000670955,-0.74,0.0015347582245102132,0
94,11,10,3.852782927495508,-0.745,0.0055050813203542104,0
95,11,10,8.212133398364152,-0.765,5.0632860315924511e-05,0
96,11,10,5.977523877544859,-0.705,0.00054499530692031506,0
